block_name,x,y,width,height,type,layer
bk1,857.000000,441.000000,133.000000,336.000000,HARD,0
bk10a,164.000000,385.000000,119.000000,378.000000,HARD,0
bk10b,24.000000,448.000000,140.000000,161.000000,HARD,0
bk10c,34.500000,336.000000,119.000000,49.000000,HARD,0
bk11,34.500000,1008.000000,119.000000,175.000000,HARD,0
bk12,283.000000,1008.000000,406.000000,140.000000,HARD,0
bk13,174.500000,0.000000,497.000000,140.000000,HARD,0
bk14a,521.000000,259.000000,196.000000,119.000000,HARD,0
bk14b,556.000000,378.000000,119.000000,294.000000,HARD,0
bk14c,675.000000,402.500000,161.000000,119.000000,HARD,0
bk15a,671.500000,10.500000,266.000000,119.000000,HARD,0
bk15b,335.500000,140.000000,336.000000,119.000000,HARD,0
bk16,892.000000,315.000000,119.000000,126.000000,HARD,0
bk17a,311.000000,588.000000,182.000000,371.000000,HARD,0
bk17b,808.000000,871.500000,203.000000,182.000000,HARD,0
bk18,493.000000,672.000000,182.000000,203.000000,HARD,0
bk19,853.500000,150.500000,84.000000,119.000000,HARD,0
bk2,937.500000,14.000000,294.000000,133.000000,HARD,0
bk20,675.000000,521.500000,182.000000,350.000000,HARD,0
bk21,1011.000000,505.000000,315.000000,140.000000,HARD,0
bk3,493.000000,875.000000,315.000000,133.000000,HARD,0
bk4,1144.000000,645.000000,133.000000,560.000000,HARD,0
bk5a,720.500000,129.500000,133.000000,140.000000,HARD,0
bk5b,717.000000,269.500000,175.000000,133.000000,HARD,0
bk5c,780.000000,1053.500000,231.000000,133.000000,HARD,0
bk6,1011.000000,890.000000,133.000000,315.000000,HARD,0
bk7,1046.000000,708.000000,98.000000,182.000000,HARD,0
bk8a,1021.500000,273.000000,210.000000,210.000000,HARD,0
bk8b,937.500000,147.000000,378.000000,126.000000,HARD,0
bk9a,153.500000,147.000000,182.000000,119.000000,HARD,0
bk9b,283.000000,469.000000,119.000000,119.000000,HARD,0
bk9c,164.000000,266.000000,357.000000,119.000000,HARD,0
bk9d,283.000000,385.000000,119.000000,84.000000,HARD,0
