block_name,x,y,width,height,type,layer
M001,0.000000,1918.000000,1708.000000,3234.000000,HARD,1
M002,0.000000,364.000000,672.000000,1554.000000,HARD,1
M003,0.000000,448.000000,1008.000000,2184.000000,HARD,0
M004,1008.000000,1134.000000,1610.000000,3080.000000,HARD,0
M005,1246.000000,2352.000000,1386.000000,532.000000,HARD,2
M006,1708.000000,1694.000000,882.000000,1862.000000,HARD,1
M007,0.000000,462.000000,868.000000,350.000000,HARD,2
M008,0.000000,812.000000,1246.000000,644.000000,HARD,2
M009,0.000000,0.000000,980.000000,462.000000,HARD,2
M010,3738.000000,1064.000000,616.000000,294.000000,HARD,0
M011,3612.000000,1162.000000,378.000000,826.000000,HARD,1
M012,3990.000000,1162.000000,406.000000,798.000000,HARD,1
M013,3458.000000,1302.000000,266.000000,672.000000,HARD,2
M014,1624.000000,728.000000,406.000000,924.000000,HARD,1
M015,1610.000000,0.000000,840.000000,406.000000,HARD,1
M016,1624.000000,406.000000,798.000000,322.000000,HARD,1
M017,2030.000000,910.000000,756.000000,392.000000,HARD,1
M018,2030.000000,1302.000000,1078.000000,392.000000,HARD,1
M019,1498.000000,0.000000,392.000000,826.000000,HARD,0
M020,1246.000000,0.000000,252.000000,798.000000,HARD,2
M021,784.000000,0.000000,826.000000,392.000000,HARD,1
M022,672.000000,406.000000,952.000000,364.000000,HARD,1
M023,1008.000000,0.000000,490.000000,1134.000000,HARD,0
M024,980.000000,0.000000,266.000000,798.000000,HARD,2
M025,2072.000000,840.000000,784.000000,322.000000,HARD,2
M026,2366.000000,0.000000,350.000000,728.000000,HARD,2
M027,2716.000000,0.000000,364.000000,840.000000,HARD,2
M028,2618.000000,0.000000,518.000000,1064.000000,HARD,0
M029,2464.000000,1694.000000,994.000000,490.000000,HARD,2
M030,2590.000000,2366.000000,1302.000000,728.000000,HARD,1
M031,2072.000000,1302.000000,1050.000000,392.000000,HARD,2
M032,3724.000000,1890.000000,784.000000,378.000000,HARD,2
M033,3724.000000,0.000000,952.000000,1890.000000,HARD,2
M034,3780.000000,0.000000,560.000000,1148.000000,HARD,1
M035,2618.000000,1806.000000,392.000000,854.000000,HARD,0
M036,1624.000000,798.000000,448.000000,994.000000,HARD,2
M037,1246.000000,1792.000000,1218.000000,560.000000,HARD,2
M038,0.000000,0.000000,966.000000,448.000000,HARD,0
M039,0.000000,0.000000,784.000000,364.000000,HARD,1
M040,1498.000000,0.000000,868.000000,392.000000,HARD,2
M041,1498.000000,392.000000,854.000000,364.000000,HARD,2
M042,1246.000000,798.000000,378.000000,168.000000,HARD,2
M043,2450.000000,0.000000,532.000000,910.000000,HARD,1
M044,3080.000000,0.000000,630.000000,1302.000000,HARD,2
M045,3108.000000,0.000000,672.000000,1162.000000,HARD,1
M046,3108.000000,1162.000000,504.000000,1204.000000,HARD,1
M047,3738.000000,1358.000000,434.000000,812.000000,HARD,0
M048,3010.000000,1064.000000,728.000000,1302.000000,HARD,0
M049,2618.000000,1064.000000,392.000000,742.000000,HARD,0
